fda_id,pat_id,doc_full_text,pat_full_text,label
P230036,10327743,"Stent, Infrapopliteal, Absorbable. EspritTM BTK Everolimus Eluting Resorbable Scaffold System is indicated for improving luminal diameter in infrapopliteal lesions in patients with Chronic Limb Threatening Ischemia (CLTI) and total scaffolding length up to 170 mm with a reference vessel diameter of >= 2.5 mm and <= 4.00 mm.","Device and methods for endoscopic annuloplasty. The methods, devices, and systems are provided for performing endovascular repair of atrioventricular and other cardiac valves in the heart. Regurgitation of an atrioventricular valve, particularly a mitral valve, can be repaired by modifying a tissue structure selected from the valve leaflets, the valve annulus, the valve chordae, and the papillary muscles. These structures may be modified by suturing, stapling, snaring, or shortening, using interventional tools which are introduced to a heart chamber. The tissue structures can be temporarily modified prior to permanent modification. For example, opposed valve leaflets may be temporarily grasped and held into position prior to permanent attachment. In one aspect, a structure is deployed in a gutter region of the valve annulus to modify the shape of the valve.",0
P790017,6183444,"Catheters, Transluminal Coronary Angioplasty, Percutaneous. 2 Classification; PTCA balloon ca ter; PTCA ca ter; Standard PTCA Ca ter - 1 Identification b Cutting/scoring PTCA Ca ter - 1 Identification; balloon; ca ter features; coronary ischemia; cutting/scoring PTCA ca ter; fluoroscopic visualization; graft stenosis; high pressure balloon resistant lesion; myocardial perfusion; premarket; single double lumen shaft type; § 870.1e","Drug delivery module.  A modular drug delivery system for use by cardiothoracic surgeons and interventional cardiologists for delivery of molecular and cellular therapies that target genes, molecules and peptides. The regulated drug delivery devices comprise a modular mechanically actuated drug delivery module (DDM) that can be attached to either a surgical viewing endoscope hand-piece or specialized catheter for interventional procedures. The DDM provides metering of drugs to treatment sites and allows for quick interchangeability with other component parts such as a viewing scope end portion for MIS or other surgical procedures or a flexible catheter shaft for percutaneous procedures. ",0
P040036,12036024,"Cardiac Ablation Percutaneous Catheter. NAVISTAR RMOCOOL DEFLECTABLE DIAGNOSTIC/ABLATION CA TERS WHICH INCLUDE MODELS N175TBH, N175TCH, N175TDH, N175TFH, N175TCBH, N175TCCH, N175TCDH, N175TCFH, AND N175TCJH. NAVISTAR RMOCOOL DIAGNOSTIC/ABLATION DEFLECTABLE TIP CA TER AND RELATED ACCESSORY DEVICES, WHEN USED WITH STOCKERT 70 RADIOFREQUENCY (RF) GENERATOR, ARE INDICATED FOR TREATMENT OF RECURRENT DRUG/DEVICE REFRACTORY SUSTAINED MONOMORPHIC VENTRICULAR TACHYCARDIA (VT) DUE TO PRIOR MYOCARDIAL INFARCTION (MI) IN ADULTS. NAVISTAR RMOCOOL CA TER PROVIDES LOCATION INFORMATION WHEN USED WITH CARTO EP / XP NAVIGATION SYSTEM, AND CAN BE USED FOR CA TER-BASED CARDIAC ELECTROPHYSIOLOGICAL MAPPING (STIMULATION AND RECORDING).","System and method for quantification of exercise and physical therapy. A system for quantification of exercise and physical therapy includes an anchoring module and an electronics module. The anchoring module is removably attached to an object (e.g., a flexible resistive band) or equipped with a clamping mechanism for removably securing the object. The anchoring module also includes an anchoring-module coupling fixture. At least one of the modules includes a sensor (e.g., a force sensor) configured to generate a signal representative of a user's performance during exercise or physical therapy; a processor configured to receive signals from the force sensor; a computer storage medium storing software code and in communication with the processor, wherein the software code includes instruction for processing the signals from the force sensor to quantify the performance; and at least one electronics-module coupling fixture configured to secure the electronics module to the anchoring module coupling fixture.",0
P110019,9675376,Coronary Drug-Eluting Stent. XIENCE PRIME AND XIENCE PRIME LL EVEROLIMUS ELUTING CORONARY STENT SYSTEM. IMPROVING CORONARY LUMINAL DIAMETER IN PATIENTS WITH SYMPTOMATIC HEART DISEASE DUE TO DE NOVO NATIVE CORONARY ARTERY LESIONS (LENGTH <= 32 MM) WITH REFERENCE VESSEL DIAMETERS OF >= 2.25 MM TO <= 4.25 MM.,"Atherectomy devices and methods. The devices and methods generally relate to treatment of occluded body lumens. In particular, the present devices and method relate to removal of the occluding material from the blood vessels as well as other body lumens.",0
P100045,8709018,"System, Hemodynamic, Implantable. CARDIOMEMS HF SYSTEM, WHICH INCLUDES CM2000 IMPLANTABLE PA SENSOR/MONITOR AND TRANSVENOUS CA TER DELIVERY SYSTEM, CM1000 PATIENT ELECTRONICS SYSTEM (GSM), CM1010 PATIENT ELECTRONICS SYSTEM (GSM), AND CM3000 HOSPITAL ELECTRONICS SYSTEM. WIRELESSLY MEASURING AND MONITORING PULMONARY ARTERY (PA) PRESSURE AND HEART RATE IN NEW YORK HEART ASSOCIATION (NYHA) CLASS III HEART FAILURE PATIENTS WHO HAVE BEEN HOSPITALIZED FOR HEART FAILURE IN PREVIOUS YEAR. HEMODYNAMIC DATA ARE USED BY PHYSICIANS FOR HEART FAILURE MANAGEMENT AND WITH GOAL OF REDUCING HEART FAILURE HOSPITALIZATIONS.","Non-balloon low profile feed device with insertion/removal tool. A device for inserting a non-balloon gastrostomic device through an opening in the wall of the abdomen and stomach or other viscera of a patient is provided. The insertion device comprises a body, a stylus, and a trigger device being adapted to selectively maintain a selected position of the stylus relative to the body without the use of an external force. A method of inserting the gastrostomic device utilizing the insertion tool is also provided. In addition or alternatively, a gastrostomic device is provided including a hollow tube member and an enlarged resiliently deformable tip at one end of the tube member. The deformable tip is deformable between a first configuration and a second configuration, each configuration having a cross-sectional area. In addition or alternatively, a method is provided for forming the gastrostomic device using a disposable core.",0
P000033,11207091,"STENT, SUPERFICIAL FEMORAL ARTERY. INTRACOIL SELF-EXPANDING PERIPHERAL STENT. IMPROVING PERIPHERAL LUMINAL DIAMETER IN PATIENTS WITH SYMPTOMATIC A ROSCLEROTIC DISEASE DUE TO STENOTIC LESIONS (LENGTH <= 15 CM) OR OCCLUSIVE LESIONS (LENGTH <= 12 CM) IN FEMOROPOPLITEAL ARTERIES, TO BIFURCATION OF TIBIAL ARTERY, WITH A REFERENCE VESSEL DIAMETER OF 3.0 TO 7.8 MM.","Surgical instrument for grasping, treating, and/or dividing tissue. A surgical instrument includes a housing, an end effector assembly, and a shaft. The end effector assembly includes first and second jaw members each defining a curved configuration. At least one of the jaw members is movable relative to the other between a spaced-apart position and an approximated position. The shaft includes a proximal portion coupled with and extending distally from the housing and a distal portion extending distally from the proximal portion and having the end effector assembly coupled thereto at the distal end thereof. The proximal portion defines a circular cross-sectional configuration to facilitate formation of a fluid-tight seal thereabout. The distal portion defines a rectangular cross-sectional configuration configured to facilitate insertion through a cannula.",0
P960042,7050692,"DEVICE, REMOVAL, PACEMAKER ELECTRODE, PERCUTANEOUS. 12 French Laser Sheath Kit which consists of 12 French Laser Sheath (Model 500-001) and Fish Tape accessory. use as an adjunct to conventional lead extraction tools in patients suitable for transvenous removal of chronically implanted pacing or defibrillator leads constructed with silicone or polyurethane outer insulation.",. ,1
P040002,9687374,"SYSTEM, ENDOVASCULAR GRAFT, AORTIC ANEURYSM TREATMENT. ENDOLOGIX POWERLINK SYSTEM. POWERLINK SYSTEM BIFURCATED MODELS AND PROXIMAL CUFF AND LIMB EXTENSION ACCESSORIES ARE INDICATED FOR ENDOVASCULAR TREATMENT IN PATIENTS WITH AAA. ENDOLOGIX POWERLINK SYSTEM IS INDICATED FOR PATIENTS WITH SUITABLE ANEURYSM MORPHOLOGY FOR ENDOVASCULAR REPAIR, INCLUDING, 1) ADEQUATE ILIAC/FEMORAL ACCESS COMPATIBLE WITH REQUIRED DELIVERY SYSTEMS (A DIAMETER OF >= 7 MM). 2) NON-ANEURYSMAL AORTIC NECK BETWEEN RENAL ARTERIES AND ANEURYSM. 3) AORTIC LENGTH >= 1.0 CM LONGER THAN BODY PORTION OF CHOSEN BIFURCATED MODEL. 4) COMMON ILIAC ARTERY DISTAL FIXATION SITE.","Catheter system and methods of using same. A modular catheter system including a sheath projecting distally from a delivery catheter having a main body module An inner core module carrying a stent thereon, the inner core being axially movable through the main body of the delivery catheter and the delivery catheter sheath, a handle member supported by the main body of the delivery catheter, the handle member being selectively axially engageable with the inner core such that the handle member and the inner core move together in an axial direction when the handle member is engaged with the inner core; and an adjustment member supported by the main body, the adjustment member being configured such that rotation of the adjustment member causes the adjustment member to move axially along the main body by either axially sliding the handle member relative to the main body or by rotating the adjustment member.",1
P880006,10750970,"Defibrillator, Automatic Implantable Cardioverter, With Cardiac Resynchronization (CRT-D). ","Implantable cardioverter-defibrillator (ICD) tachyarrhythmia detection modifications responsive to detected pacing. An implantable medical device comprises a sensing module configured to obtain electrical signals from one or more electrodes and a control module configured to process the electrical signals from the sensing module in accordance with a tachyarrhythmia detection algorithm to monitor for a tachyarrhythmia. The control module detects initiation of a pacing train delivered by a second implantable medical device, determines a type of the detected pacing train, and modifies the tachyarrhythmia detection algorithm based on the type of the detected pacing train.",0
P120006,11439497,"SYSTEM, ENDOVASCULAR GRAFT, AORTIC ANEURYSM TREATMENT. OVATION ABDOMINAL STENT GRAFT SYSTEM. TREATMENT OF PATIENTS WITH ABDOMINALAORTIC ANEURYSMS HAVING VASCULAR MORPHOLOGY SUITABLE FOR ENDOVASCULAR REPAIR, INCLUDING, 1) ADEQUATE ILIAC/FEMORAL ACCESS COMPATIBLE WITH VASCULAR ACCESS TECHNIQUES, DEVICES, AND/OR ACCESSORIES; 2) NON-ANEURYSMAL PROXIMAL AORTIC NECK, A) WITH A LENGTH OF AT LEAST 7 MM PROXIMAL TO ANEURYSM; B) WITH AN INNER WALL DIAMETER OF NO LESS THAN 16 MM AND NO GREATER THAN 30 MM; AND C) WITH AN AORTIC ANGLE OF <= 60 DEGREES IF PROXIMAL NECK IS >= 10 MM AND <=45 DEGREES IF PROXIMAL NECK IS <10 MM. 3) ADEQUATE DISTAL ILIAC LANDING ZONE, A) WITH A LENGTH OF AT LEAST 10 MM; AND WITH AN INNER WALL DIAMETER OF NO LESS THAN 8 MM AND NO GREATER THAN 20 MM.","Advanced endovascular graft. This invention is a system for the treatment of body passageways; in particular, vessels with vascular disease. The system includes an endovascular graft with a low-profile delivery configuration and a deployed configuration in which it conforms to the morphology of the vessel or body passageway to be treated as well as various connector members and stents. The graft is made from an inflatable graft body section and may be bifurcated. One or more inflatable cuffs may be disposed at either end of the graft body section. At least one inflatable channel is disposed between and in fluid communication with the inflatable cuffs.",1
P120002,8795320,"STENT, SUPERFICIAL FEMORAL ARTERY. S.M.A.R.T. CONTROL AND S.M.A.R.T. VASCULAR STENT SYSTEMS. USE TO IMPROVE LUMINAL DIAMETER IN TREATMENT OF PATIENTS WITH DE NOVO OR RESTENOTIC NATIVE LESION(S) OF SUPERFICIAL FEMORAL ARTERY AND/OR PROXIMAL POPLITEAL ARTERY WITH TOTAL LENGTH UP TO 150 MM AND WITH A REFERENCE VESSEL DIAMETER RANGING FROM 4 MM TO 7 MM.","System and method for mechanically positioning intravascular implants. An intravascular implant delivery system carries an implant by retaining an engagement member engaging the implant in a position proximal of an aperture at a distal end of the delivery system. The engagement member is retained proximal to the aperture by a cord that obstructs the movement of the engagement member through the aperture. The engagement member is free to rotate and move within an area defined by the delivery system, allowing the implant to react to forces imparted to the implant by the movement of the delivery system and implant through a delivery catheter. Once the implant is in a desired implant position, the cord is moved away from an aperture and the engagement member is allowed to move away from the delivery system.",0
P110019,9987398,Coronary Drug-Eluting Stent. XIENCE PRIME AND XIENCE PRIME LL EVEROLIMUS ELUTING CORONARY STENT SYSTEM. IMPROVING CORONARY LUMINAL DIAMETER IN PATIENTS WITH SYMPTOMATIC HEART DISEASE DUE TO DE NOVO NATIVE CORONARY ARTERY LESIONS (LENGTH <= 32 MM) WITH REFERENCE VESSEL DIAMETERS OF >= 2.25 MM TO <= 4.25 MM.,Pattern transfer device for mass transfer of micro-patterns onto medical devices. This invention is directed to a pattern transfer device and assembly for mass-transfer/fabrication of micro-sized features/structures onto the inner diameter (ID) surface of a stent. This new approach is provided by technique of through mask electrical micro-machining. One embodiment discloses an application of electrical micro-machining to the ID of a stent using a customized electrode configured specifically for machining micro-sized features/structures.,0
P900056,10406276,"CATHETER, CORONARY, ATHERECTOMY. ","System and method for guided removal from an in vivo subject. In accordance with some configurations, systems and methods for guided removal from an in vivo subject are provided. In some configurations, a method for removing an object is provided. The method comprising, guiding a flexible tube through a passageway of an in vivo subject, wherein the flexible tube comprises at least a first passageway and a second passageway. Positioning a distal end of the first passageway in proximity to the object. Infusing liquid through the second passageway substantially continuously. Removing the object through the first passageway with at least a portion of the liquid while suction is not being provided.",0
P150016,9913708,"Sealant, Polymerizing. Tridyne Vascular Sealant is indicated for use in aortic surgery when adjunctive measures to achieve hemostasis are required by mechanically sealing areas of leakage.","Selective adherence of stent-graft coverings. An endoluminal prosthesis including a radially expandable support member having interior and exterior surfaces and a wall with openings, a first covering member including a biocompatible polymer material at least partially positioned against the interior surface, and a second covering member including a biocompatible polymer material at least partially positioned against the exterior surface. The first covering member attaches to the second covering member at predetermined bonding locations within less than all of the openings thereby leaving unbonded regions.",0
P930024,8147561,"Catheter, Balloon For Retinal Reattachment. ","Methods and devices to curb appetite and/or reduce food intake. The present invention relates to methods and devices that help to curb appetite and/or reduce food intake. In one embodiment, the methods and devices of the present invention include a small intestinal/duodenal insert comprising an elongated member with at least one flow reduction element that can cause the stimulation of one or more biological signals of satiety.",0
P840040,8523899,"Catheters, Transluminal Coronary Angioplasty, Percutaneous. 2 Classification; PTCA balloon ca ter; PTCA ca ter; Standard PTCA Ca ter - 1 Identification b Cutting/scoring PTCA Ca ter - 1 Identification; balloon; ca ter features; coronary ischemia; cutting/scoring PTCA ca ter; fluoroscopic visualization; graft stenosis; high pressure balloon resistant lesion; myocardial perfusion; premarket; single double lumen shaft type; § 870.1e","Treatment device for endoscope. Disclosed is a treatment device for an endoscope including a treatment part that is adapted to treat tissue within a body cavity, a manipulating part that is adapted to manipulate the treatment part, a manipulation shaft member that connects the treatment part and the manipulating part, a multi-wire coil sheath that is formed by spirally winding a wire bundle having a plurality of element wires arranged in a longitudinal direction, and a plurality of fixing portions that is arranged between a distal end and a proximal end of the multi-wire coil sheath and restricts a first relative movement between the plurality of element wires and a second relative movement between parts of the wire bundle that are adjacent to each other as being spirally wound. The manipulation shaft member is inserted into the multi-wire coil sheath so that the manipulation shaft member is capable of being advanced and retracted.",0
P080007,10799346,"STENT, ILIAC. BARD E.LUMINEXX VASULAR STENT. TREATMENT F ILIAC OCCLUSIVE DISEASE IN PATIENTS WITH SYMPTOMATIC VASCULAR DISEASE OF COMMON AND/OR EXTERNAL ILIAC ARTERIES UP TO 126 MM IN LENGTH, WITH A REFERENCE VESSEL DIAMETER OF 5 TO 9 MM.","Methods for quickly implanting a prosthetic heart valve. A heart valve prosthesis that can be quickly and easily implanted during a surgical procedure is provided. The prosthetic valve has a base stent that is deployed at a treatment site, and a valve component configured to quickly connect to the base stent. The base stent may take the form of a self- or balloon-expandable stent that expands outward against the native valve with or without leaflet excision. The valve component has a non-expandable prosthetic valve and a self- or balloon-expandable coupling stent for attachment to the base stent, thereby fixing the position of the valve component relative to the base stent. The prosthetic valve may be a commercially available to valve with a sewing ring and the coupling stent attaches to the sewing ring. The system is particularly suited for rapid deployment of heart valves in a conventional open-heart surgical environment. A catheter-based system and method for deployment is provided.",0
P120020,8966733,"STENT, SUPERFICIAL FEMORAL ARTERY. SUPERA® PERIPHERAL STENT SYSTEM. THIS DEVICE IS INDICATED TO IMPROVE LUMINAL DIAMETER IN TREATMENT OF PATIENTS WITH SYMPTOMATIC DE NOVO OR RESTENOTIC NATIVE LESIONS OR OCCLUSIONS OF SUPERFICIAL FEMORAL ARTERY (SFA) AND/OR PROXIMAL POPLITEAL ARTERY, WITH REFERENCE VESSEL DIAMETERS OF 4.0 TO 6.5 MM, AND LESION LENGTHS UP TO 140 MM.","Secured strand end devices. A woven, self-expanding stent device has one or more strands and is configured for insertion into an anatomical structure. The device includes a coupling structure secured to two different strand end portions that are substantially aligned with each other. The two different strand end portions include nickel and titanium. The coupling structure is not a strand of the device.",1
P880065,10952883,"PULSE-GENERATOR, PROGRAM MODULE. ",Combined stent reperfusion system. Devices and methods for preventing reperfusion injuries when an occlusion balloon is deflated. A catheter having an infusion lumen exiting the catheter distal of a stent balloon and/or occlusion balloon allows a therapeutic agent to be introduced to a target location to establish desired temperatures and pressures prior to deflation of the balloon such that negative effects of reperfusion are minimized.,0
